year	district	crop	season	irrigation	soil_type	seed_variety	field_area	rainfall	yield
2015	bargarh	groundnut	rabi	drip	red_black	local	0.99	236	2294
2015	bargarh	groundnut	zaid	canal	saline	hybrid	4.93	280	1910
2015	bargarh	mung	kharif	drip	lateritic	hyv	0.7	1332	1173
2015	bargarh	mung	rabi	drip	lateritic	hyv	2.44	285	1357
2015	bargarh	mung	zaid	canal	red_black	hybrid	4.32	126	1279
2015	bargarh	cotton	kharif	drip	red_black	hybrid	2.34	1102	1892
2015	bargarh	cotton	rabi	drip	lateritic	local	2.39	223	1766
2015	bargarh	sugarcane	kharif	tubewell	red_black	hyv	2.97	1093	76255
2015	bargarh	sugarcane	rabi	tubewell	saline	hybrid	3.23	163	73840
2015	bargarh	turmeric	kharif	lift	lateritic	hybrid	2.63	973	6161
2015	bargarh	turmeric	rabi	none	red_black	hybrid	3.49	73	5178
2015	bhadrak	rice	kharif	tubewell	red_black	local	4.13	847	2950
2015	bhadrak	rice	rabi	lift	alluvial	hyv	2.36	99	3614
2015	bhadrak	rice	zaid	lift	saline	hyv	1.6	51	2648
2015	bhadrak	maize	kharif	none	saline	local	1.29	1330	2729
2015	bhadrak	maize	rabi	lift	alluvial	hybrid	1.62	166	5011
2015	bhadrak	maize	zaid	tubewell	saline	hybrid	2.89	131	3663
2015	bhadrak	wheat	kharif	lift	saline	hybrid	2.51	1286	2765
2015	bhadrak	wheat	rabi	lift	red_black	local	4.28	249	3017
2015	bhadrak	wheat	zaid	drip	saline	hybrid	1.58	232	3574
2015	bhadrak	groundnut	kharif	canal	lateritic	hyv	2.01	882	2776
2015	bhadrak	groundnut	rabi	tubewell	lateritic	local	2.22	104	1935
2015	bhadrak	groundnut	zaid	none	saline	hyv	1.99	65	1639
2015	bhadrak	mung	kharif	tubewell	saline	hyv	4.57	820	905
2015	bhadrak	mung	rabi	drip	saline	hyv	0.53	242	914
2015	bhadrak	mung	zaid	lift	saline	hybrid	3.86	204	892
2015	bhadrak	cotton	kharif	tubewell	saline	local	1.73	1198	1147
2015	bhadrak	cotton	rabi	canal	saline	hybrid	1.24	82	1425
2015	bhadrak	sugarcane	kharif	drip	alluvial	hyv	3.16	885	112119
2015	bhadrak	sugarcane	rabi	lift	lateritic	hyv	1.32	133	76308
2015	bhadrak	turmeric	kharif	tubewell	saline	hyv	2.02	1084	4918
2015	bhadrak	turmeric	rabi	lift	red_black	local	2.62	63	4728
2015	boudh	rice	kharif	canal	lateritic	hybrid	0.81	841	4690
2015	boudh	rice	zaid	tubewell	lateritic	local	3.3	171	2764
2015	boudh	maize	kharif	none	lateritic	hyv	3.65	971	3726
2015	boudh	maize	rabi	drip	alluvial	local	4.84	56	3785
2015	boudh	maize	zaid	canal	saline	hyv	4.74	201	3012
2015	boudh	wheat	kharif	tubewell	alluvial	hybrid	3.98	1414	5105
2015	boudh	wheat	rabi	none	alluvial	hyv	2.9	67	3899
2015	boudh	wheat	zaid	drip	red_black	local	4.32	77	3991
2015	boudh	groundnut	kharif	lift	red_black	hybrid	4.51	956	2445
2015	boudh	groundnut	rabi	lift	lateritic	hybrid	2.85	207	2586
2015	boudh	groundnut	zaid	drip	saline	hyv	2.46	118	2302
2015	boudh	mung	kharif	canal	lateritic	local	1.76	1275	945
2015	boudh	mung	rabi	drip	saline	hyv	0.63	96	1057
2015	boudh	mung	zaid	lift	lateritic	hyv	4.09	275	963
2015	boudh	cotton	kharif	drip	red_black	hybrid	0.55	887	2212
2015	boudh	cotton	rabi	tubewell	saline	hyv	3.0	171	1221
2015	boudh	sugarcane	kharif	lift	saline	local	0.92	1049	52422
2015	boudh	sugarcane	rabi	canal	red_black	hyv	2.99	240	85495
2015	boudh	turmeric	kharif	drip	red_black	hyv	3.66	1057	5569
2015	boudh	turmeric	rabi	tubewell	alluvial	hybrid	1.37	187	5846
2015	cuttack	rice	kharif	tubewell	lateritic	local	3.82	1403	3232
2015	cuttack	rice	zaid	drip	red_black	local	4.25	142	3203
2015	cuttack	maize	kharif	tubewell	red_black	local	3.69	846	3356
2015	cuttack	maize	rabi	none	red_black	hybrid	4.75	242	4100
2015	cuttack	maize	zaid	lift	alluvial	local	3.08	162	3776
2015	cuttack	wheat	kharif	canal	lateritic	local	1.64	916	3910
2015	cuttack	wheat	rabi	none	saline	hyv	0.83	63	2950
2015	cuttack	wheat	zaid	tubewell	lateritic	hybrid	4.77	113	3861
2015	cuttack	groundnut	kharif	none	saline	hybrid	3.18	1335	1957
2015	cuttack	groundnut	rabi	lift	saline	hyv	1.84	159	1963
2015	cuttack	groundnut	zaid	canal	alluvial	hybrid	4.82	245	2743
2015	cuttack	mung	kharif	tubewell	lateritic	hyv	3.47	977	1039
2015	cuttack	mung	rabi	drip	alluvial	local	0.51	202	1183
2015	cuttack	mung	zaid	lift	red_black	local	1.54	229	981
2015	cuttack	cotton	kharif	lift	alluvial	hybrid	1.55	1440	1771
2015	cuttack	cotton	rabi	drip	lateritic	hyv	1.02	88	1728
2015	cuttack	sugarcane	kharif	canal	lateritic	local	0.77	1409	89089
2015	cuttack	sugarcane	rabi	drip	red_black	hyv	1.06	229	107809
2015	cuttack	turmeric	kharif	lift	red_black	hybrid	2.93	1412	5667
2015	cuttack	turmeric	rabi	none	saline	hybrid	1.95	73	3885
2015	deogarh	rice	kharif	tubewell	alluvial	hybrid	4.2	979	4641
2015	deogarh	rice	zaid	lift	red_black	local	4.99	258	2697
2015	deogarh	maize	kharif	lift	alluvial	hyv	2.07	1486	3965
2015	deogarh	maize	rabi	none	lateritic	hyv	2.35	219	3445
2015	deogarh	maize	zaid	lift	alluvial	hyv	0.9	79	3864
2015	deogarh	wheat	kharif	lift	alluvial	hybrid	4.41	855	4186
2015	deogarh	wheat	rabi	tubewell	red_black	hybrid	3.9	244	4575
2015	deogarh	wheat	zaid	none	lateritic	hyv	2.97	162	3633
2015	deogarh	groundnut	kharif	lift	alluvial	local	4.88	1045	2249
2015	deogarh	groundnut	rabi	tubewell	red_black	hybrid	0.56	107	2625
2015	deogarh	groundnut	zaid	none	saline	local	3.41	288	1290
2015	deogarh	mung	kharif	canal	red_black	hyv	4.26	1049	1263
2015	deogarh	mung	rabi	lift	lateritic	hyv	1.36	241	1042
2015	deogarh	mung	zaid	tubewell	alluvial	hyv	3.98	137	1343
2015	deogarh	cotton	kharif	drip	red_black	local	1.77	1401	1465
2015	deogarh	cotton	rabi	drip	saline	local	2.51	135	1242
2015	deogarh	sugarcane	kharif	drip	saline	hyv	4.7	1044	86359
2015	deogarh	sugarcane	rabi	drip	saline	local	4.35	131	65790
2015	deogarh	turmeric	kharif	lift	saline	hyv	4.95	1467	4403
2015	deogarh	turmeric	rabi	tubewell	saline	local	1.07	134	4376
2015	dhenkanal	rice	kharif	none	saline	local	2.87	947	2171
2015	dhenkanal	rice	zaid	tubewell	alluvial	hyv	4.02	209	3527
2015	dhenkanal	maize	kharif	lift	alluvial	hyv	4.34	1189	4624
2015	dhenkanal	maize	rabi	canal	saline	hybrid	0.66	211	3133
2015	dhenkanal	maize	zaid	canal	lateritic	hybrid	0.91	244	5145
2015	dhenkanal	wheat	kharif	none	saline	local	3.62	847	2511
2015	dhenkanal	wheat	rabi	canal	alluvial	hyv	2.11	112	4370
2015	dhenkanal	wheat	zaid	drip	saline	hybrid	3.57	94	3290
2015	dhenkanal	groundnut	kharif	none	saline	hybrid	3.57	1397	1798
2015	dhenkanal	groundnut	rabi	tubewell	lateritic	hyv	3.37	220	2453
2015	dhenkanal	groundnut	zaid	none	saline	hyv	3.55	163	1486
2015	dhenkanal	mung	kharif	canal	red_black	hybrid	4.83	1267	1268
2015	dhenkanal	mung	rabi	canal	lateritic	hyv	4.34	147	973
2015	dhenkanal	mung	zaid	drip	red_black	hybrid	1.83	55	1377
2015	dhenkanal	cotton	kharif	lift	red_black	local	3.05	850	1393
2015	dhenkanal	cotton	rabi	drip	saline	hyv	3.99	255	1318
2015	dhenkanal	sugarcane	kharif	canal	lateritic	hybrid	1.36	1475	90205
2015	dhenkanal	sugarcane	rabi	tubewell	alluvial	hybrid	3.41	162	101102
2015	dhenkanal	turmeric	kharif	none	red_black	hybrid	1.09	1134	5614
2015	dhenkanal	turmeric	rabi	lift	lateritic	local	1.09	298	4452
2015	gajapati	rice	kharif	canal	red_black	local	1.66	1293	3621
2015	gajapati	rice	zaid	canal	red_black	local	2.61	243	2617
2015	gajapati	maize	kharif	tubewell	saline	hybrid	2.15	814	3913
2015	gajapati	maize	rabi	canal	alluvial	hyv	2.16	117	4894
2015	gajapati	maize	zaid	drip	saline	hybrid	4.73	109	3441
2015	gajapati	wheat	kharif	lift	alluvial	hybrid	4.48	1424	4313
2015	gajapati	wheat	rabi	tubewell	alluvial	hybrid	4.21	127	5446
2015	gajapati	wheat	zaid	lift	alluvial	local	0.7	176	2917
2015	gajapati	groundnut	kharif	none	alluvial	local	4.49	1264	1763
2015	gajapati	groundnut	rabi	canal	saline	hybrid	3.84	156	1936
2015	gajapati	groundnut	zaid	none	saline	hybrid	2.34	58	2043
2015	gajapati	mung	kharif	canal	lateritic	hyv	2.5	1171	1016
2015	gajapati	mung	rabi	none	red_black	hybrid	4.56	65	1043
2015	gajapati	mung	zaid	lift	red_black	local	4.86	260	998
2015	gajapati	cotton	kharif	lift	alluvial	hybrid	1.45	821	1890
2015	gajapati	cotton	rabi	none	red_black	local	4.95	102	1303
2015	gajapati	sugarcane	kharif	none	lateritic	hybrid	1.47	1136	90261
2015	gajapati	sugarcane	rabi	tubewell	alluvial	hyv	4.36	83	88152
2015	gajapati	turmeric	kharif	drip	red_black	local	0.99	934	5771
2015	gajapati	turmeric	rabi	none	red_black	local	3.15	117	3418
2015	ganjam	rice	kharif	none	lateritic	hybrid	2.39	865	3039
2015	ganjam	rice	zaid	canal	alluvial	hyv	2.77	61	4302
2015	ganjam	maize	kharif	drip	red_black	hyv	3.4	1290	3854
2015	ganjam	maize	rabi	lift	saline	hybrid	0.99	163	3510
2015	ganjam	maize	zaid	none	alluvial	hyv	3.24	120	3300
2015	ganjam	wheat	kharif	drip	red_black	hyv	4.98	1264	4224
2015	ganjam	wheat	rabi	drip	saline	local	4.07	217	2703
2015	ganjam	wheat	zaid	drip	lateritic	hyv	2.53	136	3845
2015	ganjam	groundnut	kharif	lift	saline	hyv	3.78	1120	1719
2015	ganjam	groundnut	rabi	canal	red_black	local	3.59	73	2143
2015	ganjam	groundnut	zaid	none	alluvial	hyv	0.93	257	2440
2015	ganjam	mung	kharif	tubewell	alluvial	hybrid	4.8	1486	1344
2015	ganjam	mung	rabi	none	saline	hyv	4.43	158	833
2015	ganjam	mung	zaid	none	red_black	hybrid	1.91	179	881
2015	ganjam	cotton	kharif	tubewell	lateritic	hybrid	2.67	1158	1987
2015	ganjam	cotton	rabi	drip	red_black	local	3.93	256	1594
2015	ganjam	sugarcane	kharif	lift	alluvial	hybrid	4.68	1073	108029
2015	ganjam	sugarcane	rabi	none	lateritic	hyv	3.66	136	70466
2015	ganjam	turmeric	kharif	canal	alluvial	local	4.41	1210	5385
2015	ganjam	turmeric	rabi	none	lateritic	hybrid	3.35	241	4295
2015	jagatsinghpur	rice	kharif	drip	lateritic	hyv	2.39	1178	3915
2015	jagatsinghpur	rice	zaid	canal	alluvial	local	1.2	62	3551
2015	jagatsinghpur	maize	kharif	none	red_black	hyv	3.48	1252	3435
2015	jagatsinghpur	maize	rabi	lift	red_black	local	3.9	160	2917
2015	jagatsinghpur	maize	zaid	none	red_black	hybrid	3.55	220	3734
2015	jagatsinghpur	wheat	kharif	canal	alluvial	local	2.28	807	3806
2015	jagatsinghpur	wheat	rabi	tubewell	red_black	local	3.95	124	3807
2015	jagatsinghpur	wheat	zaid	canal	alluvial	local	2.74	83	3619
2015	jagatsinghpur	groundnut	kharif	lift	lateritic	hybrid	3.01	1162	2599
2015	jagatsinghpur	groundnut	rabi	none	saline	hybrid	0.69	285	1540
2015	jagatsinghpur	groundnut	zaid	none	red_black	hybrid	2.43	213	2185
2015	jagatsinghpur	mung	kharif	lift	red_black	local	2.32	975	1003
2015	jagatsinghpur	mung	rabi	drip	saline	hybrid	4.64	266	911
2015	jagatsinghpur	mung	zaid	none	lateritic	hyv	3.15	151	926
2015	jagatsinghpur	cotton	kharif	canal	red_black	local	2.0	1322	1296
2015	jagatsinghpur	cotton	rabi	none	lateritic	hyv	2.08	215	1569
2015	jagatsinghpur	sugarcane	kharif	tubewell	lateritic	local	1.16	1416	70916
2015	jagatsinghpur	sugarcane	rabi	tubewell	alluvial	local	4.78	168	89093
2015	jagatsinghpur	turmeric	kharif	drip	saline	hybrid	4.66	1450	5300
2015	jagatsinghpur	turmeric	rabi	drip	red_black	hybrid	1.92	170	6382
2015	jajpur	rice	kharif	lift	red_black	hyv	3.16	875	3324
2015	jajpur	rice	zaid	lift	alluvial	local	2.16	215	2831
2015	jajpur	maize	kharif	none	saline	hyv	3.11	842	3136
2015	jajpur	maize	rabi	lift	lateritic	hyv	3.22	295	3796
2015	jajpur	maize	zaid	none	saline	local	4.15	232	2642
2015	jajpur	wheat	kharif	none	lateritic	local	1.61	1249	2747
2015	jajpur	wheat	rabi	drip	lateritic	hyv	2.18	154	4109
2015	jajpur	wheat	zaid	canal	alluvial	hybrid	3.41	74	4018
2015	jajpur	groundnut	kharif	drip	saline	hyv	1.63	1417	2379
2015	jajpur	groundnut	rabi	tubewell	red_black	local	3.12	139	1927
2015	jajpur	groundnut	zaid	canal	saline	local	3.18	129	1955
2015	jajpur	mung	kharif	drip	saline	hybrid	4.06	1486	1137
2015	jajpur	mung	rabi	drip	alluvial	hybrid	3.52	54	1433
2015	jajpur	mung	zaid	canal	red_black	local	4.78	246	914
2015	jajpur	cotton	kharif	lift	lateritic	local	5.0	1102	1183
2015	jajpur	cotton	rabi	none	alluvial	hybrid	2.02	83	1781
2015	jajpur	sugarcane	kharif	drip	saline	local	1.23	1439	74319
2015	jajpur	sugarcane	rabi	tubewell	saline	local	2.35	110	65701
2015	jajpur	turmeric	kharif	lift	red_black	hybrid	4.03	1044	5061
2015	jajpur	turmeric	rabi	canal	saline	local	2.16	162	4355
2015	jharsuguda	rice	kharif	lift	red_black	hyv	2.76	965	3393
2015	jharsuguda	rice	zaid	drip	lateritic	hyv	0.73	145	3715
2015	jharsuguda	maize	kharif	drip	alluvial	hybrid	4.31	1091	5927
2015	jharsuguda	maize	rabi	none	lateritic	hyv	2.52	262	3463
2015	jharsuguda	maize	zaid	lift	alluvial	local	4.18	288	4048
2015	jharsuguda	wheat	kharif	none	saline	local	2.28	1195	2155
2015	jharsuguda	wheat	rabi	none	red_black	local	0.63	264	3319
2015	jharsuguda	wheat	zaid	canal	lateritic	local	0.67	170	3780
2015	jharsuguda	groundnut	kharif	tubewell	saline	hyv	3.27	819	2229
2015	jharsuguda	groundnut	rabi	canal	lateritic	local	2.97	185	2307
2015	jharsuguda	groundnut	zaid	lift	alluvial	hyv	1.57	111	2220
2015	jharsuguda	mung	kharif	lift	saline	local	1.0	1411	789
2015	jharsuguda	mung	rabi	drip	alluvial	hybrid	2.82	86	1319
2015	jharsuguda	mung	zaid	canal	saline	local	3.27	156	708
2015	jharsuguda	cotton	kharif	tubewell	alluvial	hybrid	4.89	1338	1723
2015	jharsuguda	cotton	rabi	drip	alluvial	hyv	4.43	149	1703
2015	jharsuguda	sugarcane	kharif	canal	red_black	hybrid	0.57	1153	105939
2015	jharsuguda	sugarcane	rabi	tubewell	alluvial	hybrid	3.81	61	101861
2015	jharsuguda	turmeric	kharif	canal	red_black	hybrid	1.29	1275	6502
2015	jharsuguda	turmeric	rabi	lift	lateritic	local	0.78	167	4764
2015	kalahandi	rice	kharif	none	red_black	local	0.7	842	2502
2015	kalahandi	rice	zaid	canal	saline	hybrid	2.63	215	2582
2015	kalahandi	maize	kharif	tubewell	red_black	hyv	4.38	1471	3578
2015	kalahandi	maize	rabi	canal	red_black	local	4.1	152	3531
2015	kalahandi	maize	zaid	lift	saline	hyv	4.88	177	3032
2015	kalahandi	wheat	kharif	canal	red_black	local	3.77	1416	2935
2015	kalahandi	wheat	rabi	tubewell	red_black	hyv	0.96	125	3847
2015	kalahandi	wheat	zaid	canal	saline	hybrid	3.73	163	3023
2015	kalahandi	groundnut	kharif	canal	saline	local	3.77	1429	1941
2015	kalahandi	groundnut	rabi	lift	red_black	hybrid	4.91	69	2807
2015	kalahandi	groundnut	zaid	lift	red_black	hybrid	4.1	293	2608
2015	kalahandi	mung	kharif	none	lateritic	hybrid	3.55	929	981
2015	kalahandi	mung	rabi	none	lateritic	hybrid	2.15	195	964
2015	kalahandi	mung	zaid	none	lateritic	hybrid	2.52	163	961
2015	kalahandi	cotton	kharif	none	lateritic	hybrid	2.15	1085	1416
2015	kalahandi	cotton	rabi	tubewell	alluvial	local	3.81	149	1583
2015	kalahandi	sugarcane	kharif	drip	alluvial	hyv	3.99	1019	113435
2015	kalahandi	sugarcane	rabi	drip	red_black	hybrid	4.62	81	105346
2015	kalahandi	turmeric	kharif	tubewell	alluvial	hyv	1.28	889	6460
2015	kalahandi	turmeric	rabi	canal	red_black	hybrid	0.79	278	6075
2015	kandhamal	rice	kharif	canal	lateritic	hybrid	3.69	978	4372
2015	kandhamal	rice	zaid	drip	lateritic	local	4.93	110	3534
2015	kandhamal	maize	kharif	lift	alluvial	hyv	2.99	1364	4010
2015	kandhamal	maize	rabi	tubewell	alluvial	local	1.89	234	4553
2015	kandhamal	maize	zaid	lift	saline	hyv	4.21	298	2647
2015	kandhamal	wheat	kharif	canal	alluvial	hyv	2.6	931	4272
2015	kandhamal	wheat	rabi	drip	lateritic	local	2.45	64	4292
2015	kandhamal	wheat	zaid	none	lateritic	hyv	1.24	231	3048
2015	kandhamal	groundnut	kharif	tubewell	red_black	hybrid	4.53	1056	2980
2015	kandhamal	groundnut	rabi	tubewell	red_black	local	3.31	73	2234
2015	kandhamal	groundnut	zaid	drip	lateritic	hybrid	4.74	218	2621
2015	kandhamal	mung	kharif	drip	red_black	hybrid	0.69	883	1441
2015	kandhamal	mung	rabi	none	red_black	hybrid	1.45	208	1021
2015	kandhamal	mung	zaid	none	saline	hybrid	2.96	127	834
2015	kandhamal	cotton	kharif	lift	lateritic	hybrid	2.33	861	1627
2015	kandhamal	cotton	rabi	tubewell	saline	hyv	2.68	205	1207
2015	kandhamal	sugarcane	kharif	tubewell	red_black	hybrid	1.94	1153	111774
2015	kandhamal	sugarcane	rabi	lift	lateritic	hyv	2.82	111	72510
2015	kandhamal	turmeric	kharif	lift	alluvial	hyv	2.52	851	4966
2015	kandhamal	turmeric	rabi	canal	saline	hybrid	2.38	280	5466
2015	kendrapara	rice	kharif	tubewell	red_black	hybrid	3.75	963	3741
2015	kendrapara	rice	zaid	drip	saline	hyv	4.46	73	2987
2015	kendrapara	maize	kharif	lift	saline	local	1.47	851	2523
2015	kendrapara	maize	rabi	canal	saline	hybrid	4.47	170	3766
2015	kendrapara	maize	zaid	canal	alluvial	local	2.44	236	4414
2015	kendrapara	wheat	kharif	canal	saline	hyv	0.7	1375	2674
2015	kendrapara	wheat	rabi	tubewell	red_black	hybrid	1.8	165	4259
2015	kendrapara	wheat	zaid	drip	red_black	hybrid	3.56	299	4029
2015	kendrapara	groundnut	kharif	none	saline	hyv	4.08	1174	1576
2015	kendrapara	groundnut	rabi	tubewell	lateritic	hybrid	2.79	61	2700
2015	kendrapara	groundnut	zaid	none	lateritic	hybrid	2.0	166	2232
2015	kendrapara	mung	kharif	tubewell	lateritic	hyv	4.69	1202	1043
2015	kendrapara	mung	rabi	drip	red_black	hybrid	2.01	186	1428
2015	kendrapara	mung	zaid	lift	red_black	hyv	4.17	222	972
2015	kendrapara	cotton	kharif	none	saline	hybrid	1.88	1444	1343
2015	kendrapara	cotton	rabi	none	saline	hyv	4.85	248	1197
2015	kendrapara	sugarcane	kharif	drip	lateritic	hybrid	0.73	1336	105005
2015	kendrapara	sugarcane	rabi	drip	saline	local	4.2	196	62371
2015	kendrapara	turmeric	kharif	none	lateritic	local	2.48	1222	3902
2015	kendrapara	turmeric	rabi	tubewell	saline	hybrid	3.99	273	5405
2015	keonjhar	rice	kharif	none	lateritic	hybrid	1.43	1478	3257
2015	keonjhar	rice	zaid	lift	red_black	local	2.57	189	2777
2015	keonjhar	maize	kharif	canal	red_black	hybrid	2.68	1085	5117
2015	keonjhar	maize	rabi	drip	red_black	local	4.74	247	4464
2015	keonjhar	maize	zaid	canal	lateritic	hybrid	3.67	139	4253
2015	keonjhar	wheat	kharif	drip	red_black	hyv	1.05	1188	4407
2015	keonjhar	wheat	rabi	lift	red_black	local	1.81	232	3027
2015	keonjhar	wheat	zaid	none	red_black	hyv	3.45	104	3458
2015	keonjhar	groundnut	kharif	tubewell	red_black	hybrid	3.63	1430	2406
2015	keonjhar	groundnut	rabi	drip	lateritic	local	0.73	107	2624
2015	keonjhar	groundnut	zaid	tubewell	alluvial	local	2.36	75	2530
2015	keonjhar	mung	kharif	tubewell	alluvial	hybrid	4.9	1468	1184
2015	keonjhar	mung	rabi	lift	saline	hybrid	1.4	132	1002
2015	keonjhar	mung	zaid	canal	alluvial	local	3.44	239	971
2015	keonjhar	cotton	kharif	none	lateritic	hyv	4.47	837	1245
2015	keonjhar	cotton	rabi	lift	saline	local	4.71	287	1202
2015	keonjhar	sugarcane	kharif	canal	alluvial	local	1.84	1143	88445
2015	keonjhar	sugarcane	rabi	canal	saline	hybrid	2.94	290	77857
2015	keonjhar	turmeric	kharif	tubewell	saline	hyv	1.37	966	3902
2015	keonjhar	turmeric	rabi	lift	red_black	hybrid	1.34	252	5890
2015	khordha	rice	kharif	canal	lateritic	local	3.25	1215	3609
2015	khordha	rice	zaid	drip	red_black	local	2.3	85	2998
2015	khordha	maize	kharif	lift	red_black	local	0.53	1257	3343
2015	khordha	maize	rabi	canal	red_black	hyv	3.12	116	4442
2015	khordha	maize	zaid	canal	lateritic	local	3.51	90	3740
2015	khordha	wheat	kharif	lift	red_black	hybrid	1.03	1102	4547
2015	khordha	wheat	rabi	canal	lateritic	local	4.81	166	3680
2015	khordha	wheat	zaid	drip	red_black	hyv	3.66	243	4939
2015	khordha	groundnut	kharif	drip	lateritic	local	3.56	883	2527
2015	khordha	groundnut	rabi	drip	saline	hybrid	3.67	194	2146
2015	khordha	groundnut	zaid	none	alluvial	hybrid	4.56	187	2366
2015	khordha	mung	kharif	tubewell	lateritic	hyv	4.35	1496	1138
2015	khordha	mung	rabi	tubewell	saline	local	4.55	64	793
2015	khordha	mung	zaid	lift	lateritic	hybrid	2.37	193	1177
2015	khordha	cotton	kharif	lift	red_black	hybrid	0.6	803	1604
2015	khordha	cotton	rabi	tubewell	alluvial	local	2.41	188	1763
2015	khordha	sugarcane	kharif	none	alluvial	hyv	0.64	938	83975
2015	khordha	sugarcane	rabi	lift	red_black	hyv	2.52	146	97139
